event_id,user_id,track_id,artist_id,timestamp_utc,genre,session_context,play_source,track_duration_sec,completion_rate,saved,skipped,playlist_add,repeated_within_7d,explicit_intent,low_intent_context
1,3714,3699,258,2025-01-28 18:33:19+00:00,electronic,party,playlist,288,0.8116,0,0,0,0,0,0
2,15458,7836,1606,2025-06-18 08:39:40+00:00,classical,focus,playlist,165,0.7095,0,0,0,0,0,1
3,6646,7369,281,2025-04-19 03:05:40+00:00,indie,shared_account,search,155,0.9394,0,0,0,0,1,1
4,10772,1694,91,2025-02-07 01:07:38+00:00,ambient,workout,recommendation,190,0.6594,0,0,0,0,0,0
5,18173,6783,1461,2025-03-16 19:44:40+00:00,dance,intentional,library,216,0.4945,0,1,0,0,1,0
6,3753,5018,1492,2025-02-04 13:18:54+00:00,ambient,autoplay,library,181,0.7531,0,0,0,0,1,1
7,8545,331,616,2025-04-11 23:48:44+00:00,alt-pop,party,library,138,0.8667,0,0,0,0,1,0
8,3497,7311,563,2025-02-21 04:28:31+00:00,indie,party,recommendation,224,0.3572,0,0,1,0,0,0
9,8738,3615,777,2025-06-18 02:34:22+00:00,alt-pop,intentional,autoplay,206,0.1871,0,0,0,0,1,0
10,6025,1817,689,2025-02-04 12:26:56+00:00,hip-hop,focus,playlist,184,0.6594,0,0,0,0,0,1
11,18310,5119,1442,2025-06-11 01:48:56+00:00,indie,focus,recommendation,293,0.7045,0,0,0,0,0,1
12,6061,2147,1974,2025-01-30 16:30:08+00:00,dance,autoplay,search,180,0.9833,0,0,0,0,1,1
13,12283,7699,613,2025-02-05 05:08:35+00:00,ambient,workout,recommendation,307,0.347,0,1,0,0,0,0
14,2734,2418,1150,2025-03-16 20:13:33+00:00,electronic,shared_account,search,122,0.8113,0,0,0,0,1,1
15,9121,5086,1677,2025-03-21 13:53:14+00:00,classical,focus,playlist,228,0.9565,0,1,0,0,0,1
16,16694,6299,1213,2025-06-25 16:28:42+00:00,classical,intentional,search,319,0.8588,0,0,0,0,1,0
17,13441,4194,775,2025-03-28 07:21:48+00:00,electronic,sleep,recommendation,180,0.8858,0,1,0,0,0,1
18,5653,3526,1057,2025-02-25 18:56:39+00:00,dance,intentional,recommendation,257,0.658,0,0,0,0,1,0
19,19438,3137,1079,2025-05-08 06:00:33+00:00,jazz,shared_account,radio,274,0.7007,0,0,0,0,0,1
20,16045,5342,825,2025-04-09 23:29:03+00:00,hip-hop,workout,library,191,0.8909,0,0,0,0,1,0
21,8048,3009,212,2025-01-05 13:28:55+00:00,classical,party,library,254,0.7845,1,0,0,1,1,0
22,19470,4596,1010,2025-02-12 04:06:44+00:00,hip-hop,focus,playlist,256,0.8896,0,1,0,0,0,1
23,3747,2096,93,2025-02-20 03:42:10+00:00,indie,autoplay,playlist,218,0.9473,0,1,0,0,0,1
24,6640,7225,400,2025-04-08 01:53:23+00:00,hip-hop,autoplay,search,199,0.9123,0,0,0,0,1,1
25,18612,599,1702,2025-03-01 13:17:54+00:00,jazz,party,autoplay,219,0.5332,0,0,0,0,0,0
26,19405,7193,664,2025-02-11 07:57:05+00:00,alt-pop,intentional,radio,151,0.9876,0,0,0,0,1,0
27,16463,618,842,2025-01-13 07:14:05+00:00,alt-pop,focus,recommendation,223,0.7751,0,0,0,0,0,1
28,3825,7968,1333,2025-04-10 15:25:58+00:00,indie,intentional,playlist,188,0.6973,1,0,0,0,1,0
29,4371,7127,966,2025-04-19 20:21:36+00:00,hip-hop,intentional,playlist,191,0.6799,0,0,0,1,1,0
30,12950,6149,1166,2025-05-15 12:23:16+00:00,ambient,workout,playlist,171,0.8594,0,1,0,0,0,0
31,1119,2900,38,2025-03-06 07:58:46+00:00,hip-hop,party,library,228,0.544,1,0,0,0,1,0
32,19824,5650,1058,2025-04-18 03:32:13+00:00,alt-pop,autoplay,radio,121,0.9764,0,0,0,0,0,1
33,18829,3034,661,2025-06-26 18:00:22+00:00,ambient,intentional,autoplay,132,0.3058,0,0,0,0,1,0
34,16168,3416,136,2025-06-05 13:47:40+00:00,indie,focus,library,163,0.8719,1,0,1,0,1,1
35,19364,2515,1577,2025-03-29 14:40:20+00:00,alt-pop,focus,playlist,239,0.9116,0,0,0,0,0,1
36,4595,2275,43,2025-02-16 10:00:55+00:00,classical,intentional,recommendation,173,0.8121,0,0,0,0,1,0
